(201803, 95), (201708, 61)
(202002, 88), (201501, 88)
(202004, 76), (201602, 35)
(201012, 113), (201012, 115)
(201009, 114), (201708, 114)
(201603, 31), (201206, 78)
(202011, 101), (201103, 50)
(201206, 75), (201101, 41)
(201812, 57), (202002, 81)
(201706, 60), (201211, 62)
(201006, 116), (201406, 83)
(201101, 117), (201102, 58)
(201605, 39), (201910, 39)
(201105, 66), (201603, 111)
(201703, 105), (201710, 55)
(201812, 84), (201407, 93)
(201906, 98), (201004, 82)
(201810, 68), (201712, 31)
(201606, 73), (201511, 62)
(201303, 75), (201709, 120)
(201405, 106), (201202, 32)
(201107, 52), (201904, 95)
(201507, 52), (201001, 36)
(201101, 69), (201304, 110)
(201008, 98), (201112, 101)
(201210, 74), (201407, 79)
(201512, 38), (202009, 98)
(201907, 44), (201804, 64)
(201310, 61), (202001, 95)
(201006, 98), (201301, 103)
(201305, 41), (201210, 65)
(201010, 116), (202001, 52)
(201911, 107), (201808, 109)
(202006, 57), (201610, 38)
(201901, 85), (202011, 74)
(201610, 109), (201907, 119)
(201301, 61), (201302, 114)
(201604, 44), (201305, 33)
(201102, 75), (201308, 81)
(201801, 40), (201611, 80)
(201910, 55), (201001, 88)
(201709, 46), (201606, 96)
(201005, 97), (201408, 82)
(201806, 89), (201306, 107)
(201608, 102), (201209, 84)
(201808, 67), (201002, 65)
(201711, 91), (201808, 120)
(201808, 79), (201708, 61)
(201609, 57), (201712, 54)
(201801, 100), (201511, 42)
(201403, 119), (201908, 64)
(201505, 50), (201106, 104)
(201603, 43), (201012, 104)
(201903, 31), (202002, 47)
(201801, 117), (201705, 71)
(201301, 52), (201910, 111)
(201412, 111), (201503, 53)
(201310, 106), (201009, 119)
(201005, 66), (201610, 48)
(202010, 111), (201604, 87)
(201112, 93), (202002, 92)
(201004, 39), (201207, 105)
(201211, 48), (201808, 111)
(201611, 42), (201606, 85)
(201010, 119), (201602, 79)
(201412, 92), (201505, 40)
(201602, 60), (201202, 54)
(201912, 33), (201411, 87)
(201711, 74), (201810, 89)
(201005, 109), (201001, 65)
(201411, 102), (201808, 58)
(201304, 65), (201112, 108)
(201207, 42), (201005, 98)
(201610, 118), (201304, 90)
(201106, 46), (201202, 46)
(201104, 76), (201203, 115)
(201905, 54), (202004, 93)
(201310, 78), (201511, 107)
(201412, 81), (201612, 98)
(201606, 40), (201305, 70)
(201608, 117), (201409, 45)
(201908, 34), (201407, 75)
(201510, 42), (201911, 75)
(201008, 31), (201605, 73)
(201601, 70), (202002, 94)
(201902, 70), (202003, 36)
(201602, 45), (201711, 35)
(201303, 30), (201505, 105)
(201403, 40), (201105, 78)
(201512, 48), (201504, 80)
(201604, 31), (201009, 105)
(201801, 106), (201606, 76)
(201808, 45), (201305, 41)
(201504, 79), (201005, 94)
(201504, 50), (202001, 114)
(201010, 52), (201809, 88)
(201501, 100), (201110, 73)
(201812, 71), (201606, 55)
(201102, 80), (201404, 118)
(201109, 57), (201410, 92)
(202011, 86), (201308, 73)
(201906, 116), (201212, 81)
(201711, 85), (201812, 55)
(201412, 105), (201309, 73)
(201703, 61), (201608, 56)
(201904, 48), (201010, 83)
(201408, 31), (201907, 88)
(201810, 116), (202005, 66)
(201904, 95), (201912, 60)
(201602, 91), (201811, 43)
(201505, 54), (201612, 100)
(201612, 65), (201304, 62)
(201703, 118), (201403, 59)
(201504, 108), (201209, 59)
(201103, 66), (201205, 37)
(201108, 73), (201905, 39)
(201112, 82), (201809, 41)
(201902, 62), (201002, 85)
(201802, 56), (201206, 100)
(201401, 36), (201104, 33)
(201404, 59), (201604, 85)
(201708, 72), (201303, 46)
(201408, 107), (201209, 71)
(201805, 106), (201704, 73)
(201404, 52), (201112, 88)
(201611, 91), (201910, 66)
(201804, 107), (201203, 59)
(201102, 70), (201011, 74)
(201510, 119), (202010, 70)
(201308, 64), (201112, 99)
(201301, 45), (201009, 54)
(202008, 120), (201001, 113)
(202003, 45), (201902, 69)
(201604, 39), (201106, 71)
(201707, 64), (201801, 119)
(202010, 62), (201712, 97)
(201511, 32), (201701, 78)
(201008, 99), (201704, 70)
(201403, 91), (201908, 61)
(201902, 88), (201905, 41)
(201011, 80), (201710, 31)
(201603, 38), (201403, 50)
(201808, 63), (201410, 82)
(201404, 112), (201306, 60)
(201509, 118), (201812, 93)
(201207, 118), (201612, 59)
(201403, 118), (201405, 63)
(201109, 41), (201502, 60)
(201412, 48), (201710, 42)
(201201, 90), (201312, 49)
(201009, 94), (201809, 64)
(201501, 63), (201904, 110)
(201910, 115), (201310, 78)
(201809, 59), (202005, 102)
(201505, 76), (201109, 37)
(201511, 76), (201205, 94)
(201601, 114), (201607, 68)
(201308, 87), (201409, 60)
(201501, 57), (201111, 120)
(201404, 41), (201908, 61)
(201405, 64), (201507, 101)
(201806, 72), (202005, 65)
(201208, 50), (201408, 83)
(201005, 78), (202001, 36)
(202002, 113), (201902, 44)
(201909, 54), (201907, 72)
(201708, 82), (201001, 51)
(201511, 101), (201212, 35)
(202012, 120), (201202, 70)
(201803, 108), (201602, 78)
(201705, 37), (202004, 120)
(201805, 69), (201710, 113)
(201903, 110), (201601, 65)
(201504, 66), (202009, 63)
(201408, 74), (201506, 84)
(202002, 58), (201304, 107)
(201006, 39), (201703, 104)
(201104, 50), (201709, 84)
(202003, 92), (201711, 116)
(201602, 117), (201503, 57)
(201108, 86), (202007, 108)
(201307, 98), (201809, 119)
(201711, 111), (201102, 58)
(201811, 32), (201401, 35)
(201604, 107), (202003, 116)
(201702, 77), (201407, 70)
(201807, 109), (201401, 34)
(201508, 55), (201401, 107)
(201508, 93), (201207, 87)
(201502, 81), (201810, 70)
(201908, 42), (201510, 112)
(201110, 80), (202011, 74)
(201507, 87), (201211, 110)
(201109, 42), (201305, 68)
(201406, 107), (201104, 56)
(201001, 88), (201404, 113)
(201405, 105), (201207, 41)
(201704, 55), (201309, 55)
(201107, 32), (201904, 90)
(201409, 98), (201402, 37)
(201112, 67), (201209, 58)
(201010, 54), (202001, 66)
(201302, 80), (201308, 118)
(201001, 37), (201510, 47)
(201511, 46), (201302, 56)
(201909, 80), (201205, 79)
(201109, 31), (201205, 65)
(201708, 33), (202001, 35)
(201711, 37), (201404, 69)
(201707, 53), (201510, 71)
(201812, 30), (201911, 113)
(201105, 98), (201211, 74)
(202006, 87), (201407, 76)
(201806, 67), (201809, 68)
(201602, 44), (201104, 113)
(201803, 30), (201504, 99)
(201907, 64), (201102, 93)
(201707, 114), (201010, 84)
(201105, 105), (201901, 75)
(201003, 85), (201901, 103)
(201712, 109), (201408, 111)
(201409, 40), (201310, 92)
(201403, 98), (201812, 70)
(201508, 78), (201108, 38)
(201604, 76), (202010, 104)
(201312, 72), (201212, 35)
(201108, 60), (201801, 38)
(202002, 78), (201511, 94)
(201302, 106), (201909, 81)
(201701, 64), (201106, 91)
(201602, 92), (201905, 41)
(201001, 106), (201405, 99)
(201205, 97), (202007, 81)
(201603, 36), (201908, 53)
(201901, 113), (201712, 84)
(201809, 60), (201410, 110)
(201009, 113), (201708, 79)
(202011, 76), (201507, 89)
(201204, 31), (201310, 108)
(201209, 47), (201407, 91)
(201501, 115), (201003, 63)
(201411, 72), (201603, 56)
(201803, 33), (201409, 92)
(201109, 93), (201704, 61)
(201203, 83), (201402, 71)
(201110, 108), (201710, 86)
(201609, 65), (201507, 91)
(201711, 62), (201309, 88)
(201206, 76), (201801, 96)
(201409, 44), (202001, 77)
(201004, 97), (201312, 118)
(201107, 45), (201105, 36)
(201310, 100), (202001, 88)
(201301, 100), (201005, 99)
(201003, 86), (201306, 53)
(201002, 97), (201405, 56)
(201602, 97), (201309, 101)
(201905, 46), (201807, 31)
(202001, 67), (201508, 64)
(201911, 80), (201804, 58)
(201701, 96), (201001, 96)
(201011, 71), (202004, 40)
(201905, 55), (201604, 36)
(201611, 120), (201512, 65)
(201411, 109), (201509, 59)
(201809, 53), (201510, 33)
(201710, 68), (201801, 70)
(201106, 73), (201904, 117)
(202007, 107), (201912, 108)
(201907, 32), (201911, 40)
(201904, 78), (201202, 105)
(202008, 52), (201008, 105)
(202006, 87), (201406, 116)
(201006, 69), (201301, 117)
(201509, 94), (202001, 95)
(201511, 94), (201708, 65)
(201302, 50), (201007, 72)
(201302, 118), (201505, 88)
(201411, 49), (201403, 88)
(201709, 95), (201912, 34)
(201703, 67), (201407, 91)
(202007, 37), (201501, 35)
(201411, 52), (201911, 119)
(201905, 115), (201903, 90)
(201407, 73), (201210, 94)
(201201, 104), (201609, 86)
(201803, 37), (201304, 89)
(202007, 95), (201801, 41)
(201305, 94), (201706, 30)
(201001, 68), (201509, 117)
(201508, 56), (201412, 37)
(201303, 46), (201109, 54)
(201208, 94), (202009, 51)
(201101, 98), (201010, 56)
(201703, 39), (201704, 102)
(201904, 92), (201208, 101)
(201302, 37), (201106, 44)
(201707, 49), (201005, 53)
(201401, 44), (201205, 71)
(201008, 109), (201206, 97)
(201208, 104), (201506, 87)
(201503, 36), (201707, 77)
(201507, 55), (201001, 104)
(201706, 51), (201205, 75)
(201508, 111), (201908, 49)
(201004, 114), (201006, 33)
(201007, 98), (201408, 42)
(201708, 64), (201008, 72)
(201104, 68), (201506, 115)
(201601, 106), (201406, 117)
(201808, 33), (201202, 86)
(201605, 56), (201507, 80)
(201306, 117), (201507, 68)
(201702, 38), (201512, 56)
(201209, 95), (201412, 30)
(201003, 52), (201509, 96)
(202010, 107), (201209, 106)
(201211, 89), (201907, 108)
(201311, 56), (201810, 120)
(201106, 101), (201009, 72)
(201610, 35), (201107, 76)
(201211, 47), (201106, 75)
(201406, 72), (201407, 80)
(201903, 32), (201003, 71)
(201408, 36), (201504, 61)
(201909, 37), (201507, 63)
(201403, 50), (201706, 86)
(201612, 60), (201401, 40)
(201412, 72), (201601, 46)
(201112, 86), (201410, 103)
(202012, 65), (201610, 73)
(201004, 74), (201909, 33)
(201107, 119), (201301, 111)
(201912, 96), (201512, 70)
(201006, 84), (202002, 110)
(201009, 102), (201407, 39)
(201201, 54), (201001, 93)
(201202, 76), (202012, 59)
(201606, 75), (201507, 67)
(201608, 74), (201801, 45)
(201206, 38), (201201, 31)
(201402, 90), (201703, 67)
(201010, 50), (201009, 111)
(201801, 70), (201103, 78)
(202009, 37), (201604, 91)
(202008, 45), (201011, 102)
(201307, 105), (201007, 37)
(201510, 65), (201809, 82)
(201711, 114), (201301, 108)
(201701, 79), (201310, 31)
(201309, 35), (201502, 46)
(201512, 118), (202004, 32)
(201509, 111), (201902, 65)
(201412, 50), (201505, 118)
(202002, 117), (201803, 71)
(201708, 83), (201101, 118)
(201311, 33), (201004, 30)
(201801, 62), (202011, 62)
(201704, 60), (201401, 88)
(201102, 54), (201703, 60)
(201607, 109), (201305, 117)
(201109, 94), (201102, 46)
(201712, 88), (201704, 33)
(202006, 113), (201410, 46)
(201409, 85), (201011, 94)
(201501, 107), (201608, 59)
(201510, 69), (201203, 105)
(202005, 49), (201310, 104)
(201705, 88), (201710, 119)
(201409, 79), (201807, 68)
(201905, 55), (202004, 77)
(201501, 98), (201602, 34)
(201508, 83), (201611, 55)
(201209, 92), (201204, 112)
(201111, 115), (201908, 96)
(201305, 48), (201707, 60)
(201705, 68), (201301, 73)
(201903, 63), (201907, 38)
(202010, 93), (201006, 62)
(201804, 107), (202002, 47)
(201311, 62), (201705, 66)
(202009, 42), (202007, 46)
(202010, 79), (201104, 112)
(201312, 39), (201803, 87)
(201409, 70), (201704, 54)
(201212, 73), (202007, 65)
(202009, 86), (201712, 81)
(201106, 87), (201107, 79)
(201706, 37), (201109, 46)
(201202, 41), (201205, 59)
